coin_id,authority,ribbon_path,preview_path,status,failure_reason,quality_bucket,quality_score,nonblack_fraction,nonzero_fraction,mean_intensity,std_intensity,gradient_energy,edge_density,row_variance_mean,cx,cy,radius,center_offset,mask_area_fraction,used_fallback,fallback_reason,center_method,config_id,known_hard_case
196459,Elagabalus,/root/trivalaya-vision/legend_cnn/runs/run_20260410_001901_baseline/ribbons/196459.npy,,success,,good,0.5758,0.9982,0.9983,0.4919,0.153,0.211426,0.1972,0.021879,217,218,202,54.45,0.6718,False,,bbox,baseline,False
198306,Gordian III,/root/trivalaya-vision/legend_cnn/runs/run_20260410_001901_baseline/ribbons/198306.npy,,success,,bad_geometry,0.7057,0.9973,1.0,0.491,0.2038,0.753495,0.3052,0.040922,256,256,220,0.0,0.573,True,center_out_of_bounds,bbox,baseline,False
148430,Gordian III,/root/trivalaya-vision/legend_cnn/runs/run_20260410_001901_baseline/ribbons/148430.npy,,success,,bad_geometry,0.4696,0.476,0.4764,0.273,0.3325,0.255203,0.1048,0.110082,373,292,301,122.41,0.7234,False,,bbox,baseline,False
196442,Elagabalus,/root/trivalaya-vision/legend_cnn/runs/run_20260410_001901_baseline/ribbons/196442.npy,,success,,bad_geometry,0.6126,0.9156,0.996,0.34,0.2053,0.545845,0.2759,0.041574,256,256,220,0.0,0.6668,True,center_out_of_bounds,bbox,baseline,False
199611,Gordian III,/root/trivalaya-vision/legend_cnn/runs/run_20260410_001901_baseline/ribbons/199611.npy,,success,,bad_geometry,0.4534,1.0,1.0,0.2766,0.0665,0.066485,0.1298,0.004382,256,256,220,0.0,0.5713,True,center_out_of_bounds,bbox,baseline,False
171800,Hadrian,/root/trivalaya-vision/legend_cnn/runs/run_20260410_001901_baseline/ribbons/171800.npy,,success,,borderline,0.5119,0.4657,0.4706,0.274,0.3235,0.366845,0.1489,0.103729,338,303,273,94.51,0.6008,False,,bbox,baseline,False
207438,Maximian,/root/trivalaya-vision/legend_cnn/runs/run_20260410_001901_baseline/ribbons/207438.npy,,success,,bad_geometry,0.5359,1.0,1.0,0.5135,0.2176,0.188478,0.2834,0.046661,256,256,220,0.0,0.7266,True,center_out_of_bounds,bbox,baseline,False
137480,Hadrian,/root/trivalaya-vision/legend_cnn/runs/run_20260410_001901_baseline/ribbons/137480.npy,,success,,bad_geometry,0.5291,0.9985,1.0,0.4736,0.1398,0.278616,0.2964,0.01839,256,256,220,0.0,0.5111,True,center_out_of_bounds,bbox,baseline,False
207371,Maximian,/root/trivalaya-vision/legend_cnn/runs/run_20260410_001901_baseline/ribbons/207371.npy,,success,,bad_geometry,0.6306,1.0,1.0,0.5741,0.1907,0.531904,0.3355,0.035782,256,256,220,0.0,0.7275,True,center_out_of_bounds,bbox,baseline,False
150254,Hadrian,/root/trivalaya-vision/legend_cnn/runs/run_20260410_001901_baseline/ribbons/150254.npy,,success,,bad_geometry,0.5056,0.4635,0.4638,0.3518,0.4218,0.193332,0.0444,0.177046,256,256,220,0.0,0.5221,True,center_out_of_bounds,bbox,baseline,False
121227,Septimius Severus,/root/trivalaya-vision/legend_cnn/runs/run_20260410_001901_baseline/ribbons/121227.npy,,success,,bad_geometry,0.766,0.9977,1.0,0.6709,0.2567,0.929048,0.2113,0.065202,256,256,220,0.0,0.6952,True,center_out_of_bounds,bbox,baseline,False
142261,Septimius Severus,/root/trivalaya-vision/legend_cnn/runs/run_20260410_001901_baseline/ribbons/142261.npy,,success,,bad_geometry,0.772,0.9997,1.0,0.5709,0.2653,1.020759,0.2676,0.069591,256,256,220,0.0,0.5154,True,center_out_of_bounds,bbox,baseline,False
139472,Maximian,/root/trivalaya-vision/legend_cnn/runs/run_20260410_001901_baseline/ribbons/139472.npy,,success,,bad_geometry,0.6007,0.7595,0.7803,0.3469,0.2914,0.548618,0.2226,0.075744,256,256,220,0.0,0.3973,True,center_out_of_bounds,bbox,baseline,False
214342,Severus Alexander,/root/trivalaya-vision/legend_cnn/runs/run_20260410_001901_baseline/ribbons/214342.npy,,success,,bad_geometry,0.247,0.3792,0.3806,0.0927,0.1275,0.052733,0.0819,0.016185,372,332,300,138.68,0.6155,False,,bbox,baseline,False
212435,Septimius Severus,/root/trivalaya-vision/legend_cnn/runs/run_20260410_001901_baseline/ribbons/212435.npy,,success,,bad_geometry,0.4864,0.9962,1.0,0.278,0.1112,0.170438,0.2678,0.012017,256,256,220,0.0,0.689,True,center_out_of_bounds,bbox,baseline,False
114439,Severus Alexander,/root/trivalaya-vision/legend_cnn/runs/run_20260410_001901_baseline/ribbons/114439.npy,,success,,bad_geometry,0.5059,0.9948,0.9999,0.4368,0.1248,0.224395,0.2021,0.014451,256,256,220,0.0,0.5576,True,center_out_of_bounds,bbox,baseline,False
213676,Severus Alexander,/root/trivalaya-vision/legend_cnn/runs/run_20260410_001901_baseline/ribbons/213676.npy,,success,,bad_geometry,0.5293,0.9999,1.0,0.5292,0.1707,0.239083,0.2992,0.028344,256,256,220,0.0,0.7618,True,center_out_of_bounds,bbox,baseline,False
119807,Trajan,/root/trivalaya-vision/legend_cnn/runs/run_20260410_001901_baseline/ribbons/119807.npy,,success,,borderline,0.5492,0.521,0.5214,0.324,0.3513,0.336306,0.131,0.123166,341,282,275,88.89,0.6443,False,,bbox,baseline,False
208742,Trajan,/root/trivalaya-vision/legend_cnn/runs/run_20260410_001901_baseline/ribbons/208742.npy,,success,,bad_geometry,0.4639,1.0,1.0,0.3487,0.1137,0.094458,0.1844,0.012061,256,256,220,0.0,0.732,True,center_out_of_bounds,bbox,baseline,False
135452,Trajan,/root/trivalaya-vision/legend_cnn/runs/run_20260410_001901_baseline/ribbons/135452.npy,,success,,borderline,0.5103,0.3743,0.3793,0.3004,0.4257,0.24032,0.0482,0.181106,373,239,301,118.23,0.6019,False,,bbox,baseline,False
